gene_id	numb_iso	group	meanC1	meanC2	mean	varC1	varC2	var	DIE	DS	DIEDS	DE	DIEgroup	DSgroup	DIEDSgroup	DEgroup
ENSG00000160633	5	II	279.51875	600.12	439.819375	52475.8808982143	16913.9626	59791.30336625	FALSE	FALSE	TRUE	FALSE	0	0	2-0.8-0.5	0
ENSG00000160654	7	II	47.815	84.62625	66.220625	1380.83528571429	831.194255357143	1393.63195291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160678	5	II	30.01875	31.5525	30.785625	732.938469642857	223.449792857143	446.94182625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160679	6	II	218.81875	476.3425	347.580625	25041.1294125	6047.61816428571	32193.01068625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160683	1	0	106.75375	215.14875	160.95125	11508.6699982143	3634.34329821428	10199.933145	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160685	7	II	424.64625	741.05	582.848125	212893.3935125	42986.0652285714	146106.769549583	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160688	13	III	114.6875	237.095	175.89125	10045.7038785714	3090.6126	10125.9066383333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160691	13	III	554.0325	733.01875	643.525625	420244.210135714	74528.9976982143	239437.11770625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160695	10	III	205.205	408.755	306.98	26390.0594571429	9422.58294285714	27761.2604533333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160703	15	III	118.115	202.11875	160.116875	15808.0019714286	2453.50558392857	10403.8048629167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160710	11	III	920.65	1989.15375	1454.901875	401324.343371429	119706.106283929	547600.946842917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160712	7	II	97.65125	132.64625	115.14875	9418.0094125	958.449969642857	5168.92105166667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160714	7	II	158.74875	379.1525	268.950625	14238.2621839286	1358.47602142857	20232.5612995833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160741	10	III	162.26125	308.09125	235.17625	26442.7837553571	10104.9275267857	22726.6356383333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160746	17	III	68.16625	141.69125	104.92875	2504.87485535714	1277.77706964286	3206.81773166667	FALSE	TRUE	FALSE	FALSE	0	0.3-0.6	0	0
ENSG00000160752	19	III	233.70875	516.65	375.179375	35290.4535267857	8284.6146	41683.23204625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
